88:F0:77:FD:A6:02,34:BD:C8:48:9B:42,00:41:D2:C1:C1:30,34:BD:C8:48:9B:49,34:BD:C8:48:9B:40,location,88:F0:77:FD:A6:00,C2:2B:F9:8D:63:ED,00:41:D2:C1:C1:39,00:41:D2:C1:C1:32,88:F0:77:FD:A6:09,88:F0:77:FD:DB:40,00:57:D2:4B:BB:E2,88:F0:77:FD:CF:02,E8:BA:70:60:1A:F0,88:F0:77:FD:DB:42,E8:ED:F3:1A:8D:30,88:F0:77:FC:EF:49,00:41:D2:C1:B7:A0,88:F0:77:FC:EF:40,E8:BA:70:60:1A:F2,88:F0:77:FC:EF:42,E8:ED:F3:1A:8D:32,00:41:D2:C1:B7:A9,88:F0:77:FD:E9:52,88:F0:77:FD:DB:49,00:57:D2:4B:BB:E9,88:F0:77:FD:E9:59,E8:BA:70:60:1A:F9,E8:ED:F3:1A:8D:39,00:41:D2:C1:B7:A2,00:57:D2:4B:BB:E0,88:F0:77:FD:CF:09,20:4C:9E:EA:11:D0,20:4C:9E:EA:11:D2,20:4C:9E:EA:11:D9,88:F0:77:FD:F9:02,E4:95:6E:40:2B:2D,88:F0:77:FD:AB:20,88:F0:77:FD:AB:22,88:F0:77:FD:CD:12,88:F0:77:FD:CF:00,78:0C:F0:34:74:D9,78:0C:F0:34:74:D2,88:F0:77:FD:E9:50,88:F0:77:FD:EE:D9,00:DA:55:72:43:80,88:F0:77:FD:AB:29,00:DA:55:50:C0:19,00:DA:55:50:C0:12,88:F0:77:FD:EE:D2,88:F0:77:FD:EE:D0,0E:17:51:B7:F3:6F,78:0C:F0:34:74:D0,F2:CC:FD:6F:34:86,00:DA:55:72:48:82,00:DA:55:72:48:89,00:DA:55:72:43:89,00:DA:55:72:43:82,00:DA:55:51:CC:B2,88:F0:77:FD:CE:D9,A0:E0:AF:F8:0A:D9,A0:E0:AF:F8:0A:D2,88:F0:77:FD:CE:D2,00:57:D2:4B:A3:79,00:57:D2:4B:A3:72,88:F0:77:FD:F9:09,88:F0:77:FD:CD:19
-86.0,-45.0,-82.0,-45.0,-46.0,sci01,-85.0,-49.0,-82.0,-84.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02,,-55.0,,,,-61.0,-57.0,-70.0,-46.0,-61.0,-72.0,-71.0,-64.0,-71.0,-47.0,-69.0,-73.0,-63.0,-87.0,-60.0,-56.0,-88.0,-46.0,-75.0,-63.0,-59.0,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-71.0,,,daraj,,1.0,-74.0,-71.0,,,,,,,,,,,,,,,,,,,,,,,,-80.0,-81.0,-81.0,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.0,-36.0,-79.0,-38.0,-38.0,sci01,,-30.0,-80.0,-80.0,-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.0,-87.0,-87.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,daraj,,-69.0,,-80.0,,-64.0,-81.0,-81.0,-62.0,-64.0,,,,-79.0,-63.0,-80.0,,,,-67.0,-82.0,,-63.0,,-75.0,-82.0,-81.0,,,,,,,,,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02,,-49.0,,,,,-65.0,-69.0,-54.0,-65.0,-69.0,-73.0,-58.0,-76.0,-55.0,-75.0,-70.0,-56.0,-84.0,-66.0,-67.0,,-53.0,-68.0,-58.0,-66.0,-70.0,,-75.0,,,,,,,-68.0,-84.0,-85.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,
,-39.0,-72.0,-37.0,-38.0,sci01,,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,-85.0,,,,,,-90.0,-78.0,-87.0,-90.0,-93.0,,,,,,,,,,,,,,,,,,
-84.0,-67.0,-62.0,-70.0,,couloir,-83.0,-50.0,-62.0,-63.0,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,-87.0,,,,,,,,,,-83.0,,,,,-83.0,-83.0,-75.0,,,,,,,,,,,,,,,
,,,,,sci02,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-82.0,-83.0,-82.0,,,,,,,-83.0,-83.0,,,,,,,,,,-82.0,-44.0,,,,,,,,,,,,,
,,-70.0,,,entree,,-54.0,-70.0,-69.0,,-70.0,-81.0,-84.0,-74.0,-74.0,,,,,-73.0,-79.0,,,,-71.0,,,-74.0,,,,-86.0,-59.0,-58.0,-58.0,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,
