00:41:D2:C1:C1:32,88:F0:77:FD:F9:00,00:41:D2:C1:C1:30,00:41:D2:C1:C1:39,88:F0:77:FD:F9:09,location,C2:2B:F9:8D:63:ED,88:F0:77:FD:AB:20,00:DA:55:72:48:82,00:DA:55:51:CC:B9,00:DA:55:72:48:89,88:F0:77:FD:EE:D2,E4:95:6E:40:2B:2D,34:BD:C8:48:9B:40,88:F0:77:FD:EE:D9,88:F0:77:FD:A6:02,88:F0:77:FD:A6:09,88:F0:77:FD:EE:D0,34:BD:C8:48:9B:49,88:F0:77:FD:A6:00,34:BD:C8:48:9B:42,00:DA:55:50:C0:12,00:DA:55:51:CC:B2,00:DA:55:50:B7:19,00:DA:55:50:B7:12,88:F0:77:FC:EF:49,20:4C:9E:EA:11:D0,E8:ED:F3:1A:8D:39,88:F0:77:FC:EF:40,88:F0:77:FD:E9:52,00:41:D2:C1:B7:A9,20:4C:9E:EA:11:D2,88:F0:77:FD:DB:49,00:57:D2:4B:AC:22,88:F0:77:FD:DB:42,88:F0:77:FC:EF:42,00:57:D2:4B:AC:29,E8:BA:70:60:1A:F0,88:F0:77:FD:FF:52,88:F0:77:FD:DB:40,88:F0:77:FD:F9:02,88:F0:77:FD:CF:09,00:57:D2:4B:BB:E9,00:57:D2:4B:AC:20,E8:BA:70:60:1A:F2,00:57:D2:4B:BB:E0,88:F0:77:FD:E3:09,00:41:D2:C1:B7:A2,00:57:D2:4B:BB:E2,E8:BA:70:60:1A:F9,88:F0:77:FD:E9:59,88:F0:77:FD:CF:02,E8:ED:F3:1A:8D:32,88:F0:77:FD:E9:50,88:F0:77:FD:CF:00,20:4C:9E:EA:11:D9,00:41:D2:C1:B7:A0,78:0C:F0:34:74:D9,78:0C:F0:34:74:D0,E8:ED:F3:1A:8D:30,88:F0:77:FD:C7:F2,78:0C:F0:34:74:D2,A0:E0:AF:F8:0D:42,88:F0:77:FD:C7:F9,88:F0:77:FD:E3:02,88:F0:77:FD:C7:F0,88:F0:77:FD:AB:22,00:DA:55:72:43:82,88:F0:77:FD:AB:29,88:F0:77:FD:CD:12,88:F0:77:FD:E3:00,88:F0:77:FD:A8:90,00:DA:55:51:CC:B0,00:DA:55:72:48:80,78:72:5D:8E:C4:C2,78:72:5D:8E:C4:C0,78:72:5D:8E:C4:C9,00:DA:55:72:43:89,88:F0:77:FD:FF:59
-72,-83,-71,-73,-82,darajB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75,,-75,-76,,sci01A,-34,-85,-80,-75,-80,-88,-86,-45,-89,-79,-80,-90,-43,-80,-41,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci01A,-43,,,-87,,,,-37,,-83,-79,,-36,-81,-37,,-86,-83,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81,-85,-80,,-84,darajB,-68,,,,,,,,,,,,,,,,,,,-69,-67,-80,-69,-80,-65,-71,-71,-90,-71,-69,-90,-69,-90,-73,-86,-74,-79,-91,-69,-82,-93,-60,-83,-69,-78,-77,-81,-79,,,,,,,,,,,,,,,,,,,,,,,,,
-65,,-66,-67,,entreeA,-45,,,,,,,,,,,,,,-79,,,,,-84,-57,,-83,-87,,-60,-72,,-71,-84,,-65,,-71,,-83,-83,,-67,,,,-82,-64,-84,-81,,,-82,-56,,,,,,,,,,,,,,,,,,,,,,,
-84,,,,,darajB,-30,,,,,,,,,,,,,,,,,,,,,,,,-80,,,,,,,-61,,-72,,,,,-63,,,-80,,-62,,,,,,,-77,,,,,,,,,,,,,,,,,,,,,,
-66,-87,-68,-66,-87,couloirA,-59,,,,,-80,-81,-60,-82,-82,-78,-80,-58,-80,-59,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02B,-41,,,,,,,,,,,,,,,,,,,-78,-81,-78,-79,-85,-67,-79,-55,,-57,-78,,-39,,-53,,-65,-56,,-37,-60,,-65,-60,-39,,-68,-78,,-66,,,-79,-80,,,,,,,,,,,,,,,,,,,,
,,,,,sci02A,-51,,,,,,,,,,,,,,,,,,,-84,-79,-84,-85,,,,-68,,-67,-85,,-51,,-69,,-71,-59,,-54,-62,,-79,-60,-56,,-69,-85,,,-81,,,,-83,,,,,,,,,,,,,,,,,,,
-73,,-73,-72,,darajB,-46,,,,,,,,,,,,,,,,,,,-86,,,,,,,-71,,-74,-84,,-67,,,,-85,-82,,-69,,,,,-67,,-82,,,-83,,,,,,,,,,,,,,,,,,,,,,,,
-48,,-47,-49,,couloirB,-47,,,,,,,-68,,,,,-71,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-66,,,-69,,entreeA,-53,,,,,,,,,,,,,,,,,,,-72,-71,,-72,,-79,-65,-71,,-69,-72,,-58,,-70,,-81,,,-57,-78,,-75,-78,-57,-78,-84,,-81,-80,-66,,,,,,,,,,,,,,,,,,,,,,,
-70,,-70,-70,,entreeA,-49,,,,,,,,,,,,,,,,,,,,-50,,,-88,-80,-51,-75,,-72,-81,,-59,,-74,,-83,-82,,-61,,,-80,-84,-60,,-83,,,,-50,,,,,-89,,,,,,,,,,,,,,,,,,
-75,,,-75,,entreeA,-55,,,,,,,,,,,,,,,,,,,,-54,,,-84,,-53,-72,,-69,,,-66,,-68,,-89,-85,,-65,-80,,,-79,-66,,-87,,,-87,-54,,,,,,,,,,,,,,,,,,,,,,,
-70,,,,,darajB,-38,,,,,,,,,,,,,,,,,,,-74,,,-76,-87,-72,-70,-61,,-63,-74,,-59,-87,-62,-81,,-83,,-63,,,-71,-82,-62,-83,-86,,,,-70,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02A,-48,,,,,,,,,,,,,,,,,,,,-80,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02A,-41,,,,,,,,,,,,,,,,,,,-78,-81,-78,-79,-85,-67,-79,-55,,-57,-78,,-39,,-53,,-65,-56,,-37,-60,,-65,-60,-39,,-68,-78,,-66,,,-79,-80,,,,,,,,,,,,,,,,,,,,
-61,,-63,-62,,darajB,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02A,-43,,,,,,,,,,,,,,,,,,,-72,,-70,-72,-85,-65,-76,-64,,-67,-72,,-43,,-69,,-64,-67,,-44,-65,,-63,-65,-42,,-68,-72,,,,-63,,,-73,,,,,,,,,,,,,,,,,,,
-54,,-55,-54,,couloirB,-65,,,,,,,-65,,-83,-83,,-63,-83,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02A,-36,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,-69,,,-48,,-68,,-61,,,-50,,,-78,-67,-48,,-63,,,-62,,,-82,-82,,,-84,,,,,,,,,,,,,,,,,
-66,,-66,-66,,entreeA,-2,,,,,,,,,,,,,,,,,,,,-61,,,,,-63,,,,,,,,,,,,,,,,,,,,,,,,-64,,,,,,,,,,,,,,,,,,,,,,,
-72,,,,,entreeB,-53,,,,,,,,,,,,,,,,,,,,,,-68,,-78,,,-86,-81,-67,,-52,,-81,,,-77,,-52,,,-74,,-54,-80,,,-84,,,-82,,,,-87,,-90,-89,,,,,,,,,,,,,,,
,,,,,sci02A,-36,,,,,,,,,,,,,,,,,,,,,,,,,,-68,,-69,,,-48,,-68,,-61,,,-50,,,-78,-67,-48,,-63,,,-62,,,-82,-82,,,-84,,,,,,,,,,,,,,,,,
,,,,,sci02B,-36,,,,,,,,,,,,,,,,,,,-75,,,-74,,,-76,-53,,-54,-75,,-45,,-56,,-70,-64,,-47,-63,-88,,-64,-48,,-70,,,-71,-75,,,,,,,,,-87,,,,,,,,,,,,,,
,,,,,sci02A,-42,,,,,,,,,,,,,,,,,,,-65,-83,-79,-67,-82,-67,-83,-61,,-62,-64,,-42,,-60,,-67,-67,,-43,-66,,-66,-67,-42,-83,-68,-80,-82,-69,,-66,,,-79,,,,,,,,,,,,,,,,,,,
-72,-83,-71,-73,-82,darajA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84,,,-87,,darajA,-62,,,,,,,,,,,,,,,,,,,-73,-66,,-73,-84,,,-71,,-69,-73,,-62,,-69,,-83,-73,,-65,-75,,-75,-75,-64,-81,-85,,,,,,,,,,,,,,-94,,,,,,,,,,,,,
-67,,-66,-66,,couloirA,-58,,,,,-81,,,-81,-85,-86,-83,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78,,,-80,,sci01B,-45,-83,,,,,,-53,,-84,,,-52,,-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71,,-70,-72,,couloirB,-60,,,,,-88,-81,-69,-87,-82,-82,-87,-69,-83,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81,,-80,-83,,sci02B,-54,,-87,,,,,-51,,-85,-80,,-52,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci01A,-56,,,,,,,-41,,,,,-39,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73,,-74,-71,,sci01A,-42,,-85,,,,,-45,,-78,-77,,-43,-80,-44,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,-84,-89,-90,,,,,,,,,
,,,,,sci02B,-52,,,,,,,,,,,,,,,,,,,-78,,,,,-63,-82,-59,,-57,-79,,-44,,-57,,-67,-67,,-46,,,-63,-63,-47,,-68,-81,,-68,-83,-64,,,,,,,,,,,,,,,,,,,,,,
,,,,,sci02B,-60,,,,,,,,,,,,,,,,,,,-78,,-84,,,-67,-81,-66,,-63,-79,,-51,,-68,,-67,-63,,-50,,,-66,-64,-49,,-66,-84,,-64,-79,,,,-86,,,,,,,,,,,,,,,,,,,
,,,-82,,darajB,-35,,,,,,,,,,,,,,,,,,,,,,,,-66,-74,-72,,-71,-82,,-63,,,,,-79,,-62,,,-63,-78,-61,,-72,,,-74,-72,-71,,,,,,,,,,,,,,,,,,,,,,
-70,,-68,-70,,couloirA,-5,,,,,,,-65,,,,,-65,,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-68,,,,,entreeA,-44,,,,,,,,,,,,,,,,,,,-81,,,,-85,-83,-64,-68,,-71,-81,,-60,,,,-81,-81,,-60,,,-82,-82,-61,-83,-83,,-85,-84,-68,,,,,,,,,,,,,,,,,,,,,,,
,,,-82,,darajA,-35,,,,,,,,,,,,,,,,,,,,,,,,-66,-74,-72,,-71,-82,,-63,,,,,-79,,-62,,,-63,-78,-61,,-72,,,-74,-72,-71,,,,,,,,,,,,,,,,,,,,,,
-62,,-62,-62,,couloirA,-59,,,,,-92,-83,-72,,,-90,,-71,,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
