88:F0:77:FD:F9:00,C2:2B:F9:8D:63:ED,00:41:D2:C1:C1:30,location,00:41:D2:C1:C1:32,00:41:D2:C1:C1:39,88:F0:77:FD:F9:09,00:DA:55:50:B7:12,00:DA:55:51:CC:B2,34:BD:C8:48:9B:49,00:DA:55:50:B7:19,88:F0:77:FD:A6:02,34:BD:C8:48:9B:40,88:F0:77:FD:A6:09,00:DA:55:51:CC:B9,34:BD:C8:48:9B:42,88:F0:77:FD:A6:00,88:F0:77:FD:DB:40,88:F0:77:FD:CF:09,88:F0:77:FC:EF:42,88:F0:77:FD:E9:59,20:4C:9E:EA:11:D2,20:4C:9E:EA:11:D9,E8:BA:70:60:1A:F9,20:4C:9E:EA:11:D0,88:F0:77:FD:DB:42,00:41:D2:C1:B7:A9,00:57:D2:4B:BB:E0,88:F0:77:FD:E9:50,88:F0:77:FD:CF:00,00:41:D2:C1:B7:A2,E8:BA:70:60:1A:F2,88:F0:77:FC:EF:40,00:57:D2:4B:BB:E2,88:F0:77:FC:EF:49,88:F0:77:FD:CF:02,88:F0:77:FD:DB:49,E8:BA:70:60:1A:F0,88:F0:77:FD:FF:52,00:57:D2:4B:BB:E9,88:F0:77:FD:F9:02,88:F0:77:FD:E9:52,E8:ED:F3:1A:8D:39,E8:ED:F3:1A:8D:32,E8:ED:F3:1A:8D:30,00:41:D2:C1:B7:A0,E4:95:6E:40:2B:2D,88:F0:77:FD:EE:D0,88:F0:77:FD:EE:D2,88:F0:77:FD:EE:D9,78:0C:F0:34:74:D0,78:0C:F0:34:74:D2,78:0C:F0:34:74:D9,00:DA:55:72:43:82
,-5,-68,couloirA,-70,-70,,,,-65,,,-65,,,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83,-35,-69,couloirA,-71,-68,-82,,,-54,,-82,-53,-84,,-54,-83,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,-74,-79,-77,-80,,,,
,-51,-68,couloirA,-70,,,,,-61,,,-58,,,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-51,-68,couloirB,-70,,,,,-61,,,-58,,,-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-4,-56,couloirB,-54,-55,,,,-71,,,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83,-35,-69,couloirB,-71,-68,-82,,,-54,,-82,-53,-84,,-54,-83,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,-74,-79,-77,-80,,,,
-83,0,-71,darajA,-72,-73,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-41,-70,darajA,-70,-72,,,,,,,,,,,,-63,-88,-82,-82,-86,,-66,,-65,,-85,,,-77,-68,-79,,,-87,-65,-68,,,-87,-84,,,,,,,,,,,,
,-45,-63,darajA,-61,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83,0,-71,darajB,-72,-73,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
